Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Thu Dec  1 10:05:13 2022 ; 103 ;; 99.03 ;;
Thu Dec  1 10:05:34 2022 ; 135 ;; 98.52 ;;
Thu Dec  1 10:11:39 2022 ; 722 ;; 99.58 ;;
Thu Dec  1 10:11:47 2022 ; 734 ;; 99.46 ;;
Thu Dec  1 10:11:56 2022 ; 749 ;; 99.33 ;;
Thu Dec  1 10:20:21 2022 ; 1558 ;; 99.61 ;;
Thu Dec  1 10:20:22 2022 ; 1559 ;; 99.55 ;;
Thu Dec  1 10:20:23 2022 ; 1560 ;; 99.49 ;;
Thu Dec  1 10:20:24 2022 ; 1561 ;; 99.42 ;;
Thu Dec  1 10:20:25 2022 ; 1562 ;; 99.36 ;;
Thu Dec  1 10:20:26 2022 ; 1563 ;; 99.3 ;;
Thu Dec  1 10:20:27 2022 ; 1564 ;; 99.23 ;;
Thu Dec  1 10:20:28 2022 ; 1565 ;; 99.17 ;;
Thu Dec  1 10:20:29 2022 ; 1566 ;; 99.11 ;;
Thu Dec  1 10:20:30 2022 ; 1567 ;; 99.04 ;;
Thu Dec  1 10:20:31 2022 ; 1568 ;; 98.98 ;;
Thu Dec  1 10:20:33 2022 ; 1569 ;; 98.92 ;;
Thu Dec  1 10:20:34 2022 ; 1570 ;; 98.85 ;;
Thu Dec  1 10:20:35 2022 ; 1571 ;; 98.79 ;;
Thu Dec  1 10:20:36 2022 ; 1572 ;; 98.73 ;;
Thu Dec  1 10:20:37 2022 ; 1573 ;; 98.66 ;;
Thu Dec  1 10:20:38 2022 ; 1574 ;; 98.6 ;;
Thu Dec  1 10:20:39 2022 ; 1575 ;; 98.54 ;;
Thu Dec  1 10:20:40 2022 ; 1576 ;; 98.48 ;;
Thu Dec  1 10:20:41 2022 ; 1577 ;; 98.41 ;;
Thu Dec  1 10:20:42 2022 ; 1578 ;; 98.35 ;;
Thu Dec  1 10:20:43 2022 ; 1579 ;; 98.29 ;;
Thu Dec  1 10:20:44 2022 ; 1580 ;; 98.23 ;;
Thu Dec  1 10:20:46 2022 ; 1581 ;; 98.17 ;;
Thu Dec  1 10:20:47 2022 ; 1582 ;; 98.1 ;;
Thu Dec  1 10:20:48 2022 ; 1583 ;; 98.04 ;;
Thu Dec  1 10:20:49 2022 ; 1584 ;; 97.98 ;;
Thu Dec  1 10:20:50 2022 ; 1585 ;; 97.92 ;;
Thu Dec  1 10:20:51 2022 ; 1586 ;; 97.86 ;;
Thu Dec  1 10:20:52 2022 ; 1587 ;; 97.79 ;;
Thu Dec  1 10:20:53 2022 ; 1588 ;; 97.73 ;;
Thu Dec  1 10:20:54 2022 ; 1589 ;; 97.67 ;;
Thu Dec  1 10:20:55 2022 ; 1590 ;; 97.61 ;;
Thu Dec  1 10:20:56 2022 ; 1591 ;; 97.55 ;;
Thu Dec  1 10:20:57 2022 ; 1592 ;; 97.49 ;;
Thu Dec  1 10:20:58 2022 ; 1593 ;; 97.43 ;;
Thu Dec  1 10:20:59 2022 ; 1594 ;; 97.37 ;;
Thu Dec  1 10:21:01 2022 ; 1595 ;; 97.3 ;;
Thu Dec  1 10:21:02 2022 ; 1596 ;; 97.24 ;;
Thu Dec  1 10:21:03 2022 ; 1597 ;; 97.18 ;;
Thu Dec  1 10:21:04 2022 ; 1598 ;; 97.12 ;;
Thu Dec  1 10:21:05 2022 ; 1599 ;; 97.06 ;;
Thu Dec  1 10:21:06 2022 ; 1600 ;; 97.0 ;;
Thu Dec  1 10:21:07 2022 ; 1601 ;; 96.94 ;;
Thu Dec  1 10:21:08 2022 ; 1602 ;; 96.88 ;;
Thu Dec  1 10:21:09 2022 ; 1603 ;; 96.82 ;;
Thu Dec  1 10:21:10 2022 ; 1604 ;; 96.76 ;;
Thu Dec  1 10:21:11 2022 ; 1605 ;; 96.7 ;;
Thu Dec  1 10:21:12 2022 ; 1606 ;; 96.64 ;;
Thu Dec  1 10:21:14 2022 ; 1607 ;; 96.58 ;;
Thu Dec  1 10:21:15 2022 ; 1608 ;; 96.52 ;;
Thu Dec  1 10:21:16 2022 ; 1609 ;; 96.46 ;;
Thu Dec  1 10:21:17 2022 ; 1610 ;; 96.4 ;;
Thu Dec  1 10:21:18 2022 ; 1611 ;; 96.34 ;;
Thu Dec  1 10:21:19 2022 ; 1612 ;; 96.28 ;;
Thu Dec  1 10:21:20 2022 ; 1613 ;; 96.22 ;;
Thu Dec  1 10:21:21 2022 ; 1614 ;; 96.16 ;;
Thu Dec  1 10:21:22 2022 ; 1615 ;; 96.1 ;;
Thu Dec  1 10:21:23 2022 ; 1616 ;; 96.04 ;;
Thu Dec  1 10:21:24 2022 ; 1617 ;; 95.98 ;;
Thu Dec  1 10:21:25 2022 ; 1618 ;; 95.92 ;;
Thu Dec  1 10:21:26 2022 ; 1619 ;; 95.86 ;;
Thu Dec  1 10:21:28 2022 ; 1620 ;; 95.8 ;;
Thu Dec  1 10:21:29 2022 ; 1621 ;; 95.74 ;;
Thu Dec  1 10:21:30 2022 ; 1622 ;; 95.68 ;;
Thu Dec  1 10:21:31 2022 ; 1623 ;; 95.63 ;;
Thu Dec  1 10:21:32 2022 ; 1624 ;; 95.57 ;;
Thu Dec  1 10:21:33 2022 ; 1625 ;; 95.51 ;;
Thu Dec  1 10:21:34 2022 ; 1626 ;; 95.45 ;;
Thu Dec  1 10:21:35 2022 ; 1627 ;; 95.39 ;;
Thu Dec  1 10:21:36 2022 ; 1628 ;; 95.33 ;;
Thu Dec  1 10:21:37 2022 ; 1629 ;; 95.27 ;;
Thu Dec  1 10:21:38 2022 ; 1630 ;; 95.21 ;;
Thu Dec  1 10:21:39 2022 ; 1631 ;; 95.16 ;;
Thu Dec  1 10:21:40 2022 ; 1632 ;; 95.1 ;;
Thu Dec  1 10:21:42 2022 ; 1633 ;; 95.04 ;;
Thu Dec  1 10:21:43 2022 ; 1634 ;; 94.98 ;;
Thu Dec  1 10:21:44 2022 ; 1635 ;; 94.92 ;;
Thu Dec  1 10:21:45 2022 ; 1636 ;; 94.87 ;;
Thu Dec  1 10:21:46 2022 ; 1637 ;; 94.81 ;;
Thu Dec  1 10:21:47 2022 ; 1638 ;; 94.75 ;;
Thu Dec  1 10:21:48 2022 ; 1639 ;; 94.69 ;;
Thu Dec  1 10:21:49 2022 ; 1640 ;; 94.63 ;;
Thu Dec  1 10:21:50 2022 ; 1641 ;; 94.58 ;;
Thu Dec  1 10:21:51 2022 ; 1642 ;; 94.52 ;;
Thu Dec  1 10:21:52 2022 ; 1643 ;; 94.46 ;;
Thu Dec  1 10:21:53 2022 ; 1644 ;; 94.4 ;;
Thu Dec  1 10:21:55 2022 ; 1645 ;; 94.35 ;;
